T,pH,F1,F2,F3,scale,Y,cost_eur,total_cost_eur,run_id
48.452087902888074,5.782364507080583,1.0141402080088617,0.43026319709406363,0.09058226521123505,bench,2.9269174162441978,500,192970,227218
52.04875529672649,7.952629596853136,0.7213935694723046,1.3871886367324453,0.8549614062104434,bench,3.334537411805574,500,193470,227219
41.25840395153484,3.3488013786242044,0.3356134879919336,0.617723838672917,0.7556585801172668,bench,3.167061563537228,500,193970,227220
23.545522556430445,9.319759944219854,1.7936182743895823,0.9172368828007418,0.2368335600877935,bench,2.999871199232889,500,194470,227221
34.483824519829255,5.159779060357792,0.40293019756050963,0.31068788786778023,0.42216165029262387,bench,5.194360783692536,500,194980,227223
39.61072258429606,7.398315673788714,0.9956196234212772,1.9845710507932453,1.3316951046757546,bench,3.7969504453684855,500,195480,227224
54.510475688184364,3.010559336958882,1.5674174641861849,1.0629540293965132,1.1530444188724194,bench,3.656869656650809,500,195980,227225
33.621057281831426,4.257775510765972,1.8524295073774066,0.5773090650949115,0.333018600531749,bench,3.083751953961396,500,196480,227226
51.12569616225534,6.954379586281203,0.02997348979977509,0.0687633358617959,1.61677401986048,bench,2.9465941639936832,500,197490,227229
26.390471285006395,7.749069526815193,1.9711671896069756,0.23175044960250246,1.0860247516390689,bench,3.5642792123492946,500,198000,227231
37.600183595049785,3.972607262330923,1.2213075622497862,1.4335149143407968,0.12948346213736647,bench,2.864644800209159,500,198500,227232
42.43854193795606,8.375852372950039,0.8431258804047106,1.1860203001872343,1.8885469926464027,bench,4.189748878109164,500,199050,227238
56.66319407641906,6.421893733003482,0.14347638935188112,1.7235001142583974,0.9365281679999409,bench,3.110254901671548,500,199570,227241
46.89284119868401,4.768257672757741,0.6696049901937388,0.8969182165432061,1.7563282610767637,bench,4.105615158797395,500,200080,227260
29.57083065436094,6.767228190789493,0.5146596926731835,1.276606051413466,1.9941697258310935,bench,4.406793568469854,500,200600,227276
59.43723221595601,5.504582028725828,1.6338083485273107,1.8442967847658722,1.5216101790893588,bench,3.9478469571181876,500,201100,227282
24.671372919345224,6.117924270031977,0.21859796153339653,1.5833027080092297,0.697728792686614,bench,3.1206960798234764,500,201600,227283
45.81990427844872,8.940233211056153,1.4538122769748614,1.68387282209664,0.5498955224896637,bench,3.3208141095399943,500,202100,227284
31.695375794573664,8.623695878099735,1.355384372442597,0.7618978773903518,1.2698487910852123,bench,3.7797108833049884,500,202600,227285
20.739434813762223,4.5074109015701485,1.1912350080683898,0.18819940978794847,1.4038102335450486,bench,3.810326717199358,500,203100,227286
