recipe_name,scale,Reps,Mean_Y,Noise_StdDev,bias
baseline,bench,2,3.5168247185291923,0.03210505431347316,2.0800837190154997
baseline,micro,10,0.14122591270636017,0.020365032413395715,-1.2955150868073326
baseline,pilot,1,1.4367409995136928,,0.0
hotspot,bench,2,5.418808677108224,0.11628389353694336,3.0605740440924043
hotspot,micro,10,0.17715304555854056,0.015545940320393158,-2.181081587457279
hotspot,pilot,1,2.3582346330158197,,0.0
