T,pH,F1,F2,F3,scale,observed_Y,cost_eur,cumulative_cost,source
57.02052481757057,5.752336708533056,0.8341772471199913,0.4674669917527432,1.7249945471514794,0,0.20020599420382543,10.0,10.0,lhs_seed
53.842421937407174,7.405407962267696,0.5458235567746496,1.5301383986922903,1.898621316671968,0,0.1876366754003233,10.0,20.0,lhs_seed
45.19235772849608,4.275926376798671,0.27259619266723545,0.6973808545586918,0.1656153309056317,0,0.10363801898046021,10.0,30.0,lhs_seed
35.57517407725739,8.734061031720284,1.194112506974074,0.22306997218120636,0.09779377842362941,0,0.13641723928413638,10.0,40.0,lhs_seed
59.24096115930944,7.574735204698956,0.8690884477756513,1.0142334668914659,1.0159571113181796,0,0.13435161502368617,10.0,50.0,lhs_seed
43.44733978884313,4.639583985233196,0.07762837513155384,1.5697969775727225,1.9485777218834515,0,0.1419436824337634,10.0,60.0,lhs_seed
34.409298374269724,4.980840218785414,1.534045443516547,1.6168421136233666,0.5426995938991908,0,0.14998644673322659,10.0,70.0,lhs_seed
26.833580072072195,3.066082029050793,0.524053741325517,0.7750310053636515,1.719884463856183,0,0.1827115255103073,10.0,80.0,lhs_seed
47.512743381277915,5.206810127013613,0.17430042926598063,1.1893643455533027,0.7068637235988884,0,0.10559187830365964,10.0,90.0,lhs_seed
26.11582157315965,5.667984430642919,1.0578546955084527,0.0011869907901405341,0.3374307016986798,0,0.1491460981011528,10.0,100.0,lhs_seed
46.808831292329316,4.07491950327786,1.481105874798863,1.2947419227606458,0.5813781429293468,0,0.1367843382872554,10.0,110.0,lhs_seed
39.38967141688979,5.056896103634948,1.1106929933449974,0.3295584117996732,0.6760460672638486,0,0.13427804120357528,10.0,120.0,lhs_seed
20.778059775246383,7.340558213065461,1.2791042446092271,1.4507222730948501,1.6961025214896077,0,0.17784699994335737,10.0,130.0,lhs_seed
38.501136470022246,3.229210767943909,0.8930126355567833,0.9207037515004065,1.2926564529275801,0,0.18695462891466333,10.0,140.0,lhs_seed
34.91062406635147,3.854631377438176,0.09236915592129552,1.383323519838468,0.20274540748752348,0,0.10702897545586881,10.0,150.0,lhs_seed
23.07677056280101,8.612249117512695,0.3648612716563242,1.8691441707369032,1.5630292778460881,0,0.180565339689013,10.0,160.0,lhs_seed
23.61912568984708,7.546680246042939,1.8908977139006828,1.145982952914562,1.2088673278687336,0,0.15073459550940954,10.0,170.0,lhs_seed
