x_Time_or_Temp,y_Yield
3.0,3.539272005629391
3.2708333333333335,3.4676363295490416
3.5416666666666665,3.5268592224647577
3.8125,3.4432484625242936
4.083333333333333,3.436913603763024
4.354166666666666,3.4691835274667397
4.625,3.537167263116595
4.895833333333333,3.4882438505381823
5.166666666666666,3.5187050542009284
5.4375,3.481573525459795
5.708333333333333,3.52653273447725
5.979166666666666,3.5077519292643435
6.25,3.4775564415696216
6.520833333333333,3.447217031958209
6.791666666666666,3.4183226207190227
7.0625,3.4196801003967385
7.333333333333333,3.5453053554496217
7.604166666666666,3.464650212693376
7.875,3.4665464961372816
8.145833333333332,3.430992674979416
8.416666666666666,3.5124459254686347
8.6875,3.530244801509153
8.958333333333332,3.544527942743289
9.229166666666666,3.6085447502951657
9.5,3.549939955950183
