campaign_id,seed,highest_found_Y,highest_found_pilot_Y,average_pilot_Y
1,494384,23.480286878827485,15.770706595480457,10.681940491822076
2,582868,25.404320340099915,7.768559536882698,3.9582936188061346
3,760221,24.903604995006216,18.101602651009298,12.75179383839171
4,185308,20.647036482216222,13.706491723441692,8.379625328006036
5,427411,13.789037724177241,13.789037724177241,9.707572265350787
