run,scale,T,pH,F1,F2,F3,Y,cost_eur,cumulative_cost,source
1,bench,48.452087902888074,5.782364507080583,1.0141402080088617,0.43026319709406363,0.09058226521123505,2.949823923860036,500.0,500.0,lhs_bench
2,bench,52.04875529672649,7.952629596853136,0.7213935694723046,1.3871886367324453,0.8549614062104434,3.304391494711455,500.0,1000.0,lhs_bench
3,bench,41.25840395153484,3.3488013786242044,0.3356134879919336,0.617723838672917,0.7556585801172668,3.1976305430277705,500.0,1500.0,lhs_bench
4,bench,23.545522556430445,9.319759944219854,1.7936182743895823,0.9172368828007418,0.2368335600877935,3.06134095673699,500.0,2000.0,lhs_bench
5,bench,34.483824519829255,5.159779060357792,0.40293019756050963,0.31068788786778023,0.42216165029262387,5.156549717980913,500.0,2500.0,lhs_bench
6,bench,39.61072258429606,7.398315673788714,0.9956196234212772,1.9845710507932453,1.3316951046757546,3.654427843290122,500.0,3000.0,lhs_bench
7,bench,54.510475688184364,3.010559336958882,1.5674174641861849,1.0629540293965132,1.1530444188724194,3.6244520396566036,500.0,3500.0,lhs_bench
8,bench,33.621057281831426,4.257775510765972,1.8524295073774066,0.5773090650949115,0.333018600531749,3.1251200969258717,500.0,4000.0,lhs_bench
9,bench,51.12569616225534,6.954379586281203,0.02997348979977509,0.0687633358617959,1.61677401986048,2.9681634306794513,500.0,4500.0,lhs_bench
10,bench,26.390471285006395,7.749069526815193,1.9711671896069756,0.23175044960250246,1.0860247516390689,3.6098183962055703,500.0,5000.0,lhs_bench
11,bench,37.600183595049785,3.972607262330923,1.2213075622497862,1.4335149143407968,0.12948346213736647,3.096547838316812,500.0,5500.0,lhs_bench
12,bench,42.43854193795606,8.375852372950039,0.8431258804047106,1.1860203001872343,1.8885469926464027,4.336148430392405,500.0,6000.0,lhs_bench
13,bench,56.66319407641906,6.421893733003482,0.14347638935188112,1.7235001142583974,0.9365281679999409,3.3183956171040006,500.0,6500.0,lhs_bench
14,bench,46.89284119868401,4.768257672757741,0.6696049901937388,0.8969182165432061,1.7563282610767637,4.070218897060035,500.0,7000.0,lhs_bench
15,bench,29.57083065436094,6.767228190789493,0.5146596926731835,1.276606051413466,1.9941697258310935,4.318716957199328,500.0,7500.0,lhs_bench
16,bench,59.43723221595601,5.504582028725828,1.6338083485273107,1.8442967847658722,1.5216101790893588,3.9986838483807756,500.0,8000.0,lhs_bench
17,bench,24.671372919345224,6.117924270031977,0.21859796153339653,1.5833027080092297,0.697728792686614,3.1388765421794242,500.0,8500.0,lhs_bench
18,bench,45.81990427844872,8.940233211056153,1.4538122769748614,1.68387282209664,0.5498955224896637,3.2013340545062454,500.0,9000.0,lhs_bench
19,bench,31.695375794573664,8.623695878099735,1.355384372442597,0.7618978773903518,1.2698487910852123,3.84700696725985,500.0,9500.0,lhs_bench
20,bench,20.739434813762223,4.5074109015701485,1.1912350080683898,0.18819940978794847,1.4038102335450486,3.925596460729122,500.0,10000.0,lhs_bench
1,pilot,34.483824519829255,5.159779060357792,0.40293019756050963,0.31068788786778023,0.42216165029262387,2.0778634917412857,2000.0,12000.0,lhs_pilot
2,pilot,42.43854193795606,8.375852372950039,0.8431258804047106,1.1860203001872343,1.8885469926464027,1.8484161985973553,2000.0,14000.0,lhs_pilot
