x_Time_or_Temp,y_Yield
0.0,1.5359237738876752
0.08333333333333333,3.1055017497214745
0.16666666666666666,3.2235692923471158
0.25,3.348485246996627
0.3333333333333333,3.412937551799
0.41666666666666663,3.2428048538167626
0.5,3.299713558408527
0.5833333333333333,3.408925286024529
0.6666666666666666,3.4857557623480986
0.75,3.591790907197815
0.8333333333333333,3.416720051285791
0.9166666666666666,3.3968505594966323
1.0,3.432551790329194
1.0833333333333333,3.3820186269271995
1.1666666666666665,3.5152264802175464
1.25,3.558388604659865
1.3333333333333333,3.5491431389119406
1.4166666666666665,3.580228518575417
1.5,3.6256828185497243
1.5833333333333333,3.4938231106100055
1.6666666666666665,3.5442414070046837
1.75,3.4616935006090475
1.8333333333333333,3.56095722448026
1.9166666666666665,3.6707701775188477
2.0,3.5436990768886294
