T,pH,F1,F2,F3,scale,observed_Y,cost_eur,cumulative_cost,source
31.08954391183671,3.939558403115122,1.7187708961408745,1.9263173557880486,0.10545920161786547,0,0.12307730228235844,10.0,10.0,lhs_seed
47.03405437708125,4.789459869626209,1.941491107611772,1.044668751739087,1.1948268235041315,0,0.17776265493858837,10.0,20.0,lhs_seed
22.80347669602122,7.344242970772103,0.9733426684907314,1.4369216239312572,1.9283421824576183,0,0.19539385635871362,10.0,30.0,lhs_seed
32.597903812914275,8.680149399381216,0.7881144205222967,0.9320406231648066,0.1984052358245207,0,0.1416926131644713,10.0,40.0,lhs_seed
41.303708585800585,6.36806206292474,1.3024553065620137,0.4108763627907892,1.1181623335055175,0,0.14814610860014804,10.0,50.0,lhs_seed
58.409514124334606,7.919794143375082,1.6568854099276082,0.9881888268513082,1.5263773240856449,0,0.15554550220014318,10.0,60.0,lhs_seed
36.50802401161721,6.091867563080923,0.5607237356272644,0.29868105107588416,1.1408355612990067,0,0.20975093017777732,10.0,70.0,lhs_seed
43.311419657865734,7.486154615697955,0.749041065729653,1.9625768188160626,1.7020244182935207,0,0.16450702000577397,10.0,80.0,lhs_seed
36.23681848779191,9.127023714625164,1.872466483675458,0.8968209373109337,0.23808805817222925,0,0.16348248616397143,10.0,90.0,lhs_seed
48.73977183074932,5.807730823082372,0.4641340641274192,1.823908135061685,1.5913383469821003,0,0.14694679108256037,10.0,100.0,lhs_seed
27.973165068646587,3.627223525182213,1.8049897521500315,1.788527553382652,0.49635179426955495,0,0.167956645621221,10.0,110.0,lhs_seed
54.867855893906935,8.841697665140783,1.3682000830195427,1.8622876553422134,1.2590818261602292,0,0.1917472770708856,10.0,120.0,lhs_seed
27.297519338341722,6.59039964786067,1.6960646214022574,1.6319176502331378,1.209916744784077,0,0.16011120391388503,10.0,130.0,lhs_seed
54.3290706174473,7.453228678742155,0.8576908330874476,1.3798857632871722,1.9855494711046373,0,0.16744549538241937,10.0,140.0,lhs_seed
59.202163917165514,4.978317803826831,1.0667001191968386,0.20770027174158975,0.5760915125102583,0,0.1483844728107782,10.0,150.0,lhs_seed
52.1794865127135,6.386767703539919,0.08634823071967469,1.0026244411834488,1.601540478674666,0,0.16045542687932052,10.0,160.0,lhs_seed
29.961898144043687,4.428846605229121,0.4917525971184699,0.3916048841709033,0.350307474668204,0,0.13175371803268807,10.0,170.0,lhs_seed
58.086539745551384,3.8617727947923153,0.00509393967464929,0.07886722929675227,1.274862888700486,0,0.1367720568935064,10.0,180.0,lhs_seed
56.264165415923905,4.86882684948747,1.9622463463908257,0.4614173284068721,0.8415150774850797,0,0.17654946867539678,10.0,190.0,lhs_seed
27.0283021766501,6.550016340739264,1.5162252095639805,0.4496776908516225,0.89583987805264,0,0.17065482807519922,10.0,200.0,lhs_seed
48.27261809746496,4.041910347032805,1.2980944136946757,0.1792887611583068,1.9487630821748103,0,0.17063092683382802,10.0,210.0,lhs_seed
32.93616894264713,3.459711777221403,1.842876926599803,0.8280611716324516,0.245706347271708,0,0.13152044371928465,10.0,220.0,lhs_seed
51.00078579446844,7.166660336131671,0.039376977647629444,0.8415231423138647,1.1615706840046796,0,0.12754734235369253,10.0,230.0,lhs_seed
